,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
102,Fruit 'n Yogurt Parfait,150,2.0,1.0,0.0,5,70,30,1,23,4
103,Baked Apple Pie,250,13.0,7.0,0.0,0,170,32,4,13,2
104,Chocolate Chip Cookie,160,8.0,3.5,0.0,10,90,21,1,15,2
105,Oatmeal Raisin Cookie,150,6.0,2.5,0.0,10,135,22,1,13,2
106,Kids Ice Cream Cone,45,1.5,1.0,0.0,5,20,7,0,6,1
107,Hot Fudge Sundae,330,9.0,7.0,0.0,25,170,53,1,48,8
108,Hot Caramel Sundae,340,8.0,5.0,0.0,30,150,60,0,43,7
109,Strawberry Sundae,280,6.0,4.0,0.0,25,85,49,0,45,6
110,Coca-Cola Classic (Small),140,0.0,0.0,0.0,0,0,39,0,39,0
111,Coca-Cola Classic (Medium),200,0.0,0.0,0.0,0,5,55,0,55,0
112,Coca-Cola Classic (Large),280,0.0,0.0,0.0,0,5,76,0,76,0
113,Coca-Cola Classic (Child),100,0.0,0.0,0.0,0,0,28,0,28,0
114,Diet Coke (Small),0,0.0,0.0,0.0,0,10,0,0,0,0
115,Diet Coke (Medium),0,0.0,0.0,0.0,0,20,0,0,0,0
116,Diet Coke (Large),0,0.0,0.0,0.0,0,35,0,0,0,0
117,Diet Coke (Child),0,0.0,0.0,0.0,0,15,0,0,0,0
118,Dr Pepper (Small),140,0.0,0.0,0.0,0,45,37,0,35,0
119,Dr Pepper (Medium),190,0.0,0.0,0.0,0,65,53,0,51,0
120,Dr Pepper (Large),270,0.0,0.0,0.0,0,90,72,0,70,0
121,Dr Pepper (Child),100,0.0,0.0,0.0,0,30,27,0,26,0
122,Diet Dr Pepper (Small),0,0.0,0.0,0.0,0,70,0,0,0,2
123,Diet Dr Pepper (Medium),0,0.0,0.0,0.0,0,100,0,0,0,3
124,Diet Dr Pepper (Large),0,0.0,0.0,0.0,0,140,0,0,0,4
125,Diet Dr Pepper (Child),0,0.0,0.0,0.0,0,50,0,0,0,1
126,Sprite (Small),140,0.0,0.0,0.0,0,30,37,0,37,0
127,Sprite (Medium),200,0.0,0.0,0.0,0,45,54,0,54,0
128,Sprite (Large),280,0.0,0.0,0.0,0,60,74,0,74,0
129,Sprite (Child),100,0.0,0.0,0.0,0,25,27,0,27,0
130,1% Low Fat Milk Jug,100,2.5,1.5,0.0,10,125,12,0,12,8
131,Fat Free Chocolate Milk Jug,130,0.0,0.0,0.0,5,135,23,1,22,9
132,Minute Maid 100% Apple Juice Box,80,0.0,0.0,0.0,0,15,21,0,19,0
133,Minute Maid Orange Juice (Small),150,0.0,0.0,0.0,0,0,34,0,30,2
134,Minute Maid Orange Juice (Medium),190,0.0,0.0,0.0,0,0,44,0,39,3
135,Minute Maid Orange Juice (Large),280,0.0,0.0,0.0,0,5,65,0,58,4
136,Dasani Water Bottle,0,0.0,0.0,0.0,0,0,0,0,0,0
137,Iced Tea (Small),0,0.0,0.0,0.0,0,10,0,0,0,0
138,Iced Tea (Medium),0,0.0,0.0,0.0,0,10,0,0,0,0
139,Iced Tea (Large),0,0.0,0.0,0.0,0,15,0,0,0,0
140,Iced Tea (Child),0,0.0,0.0,0.0,0,5,0,0,0,0
141,Sweet Tea (Small),150,0.0,0.0,0.0,0,10,36,0,36,1
142,Sweet Tea (Medium),180,0.0,0.0,0.0,0,10,45,0,45,1
143,Sweet Tea (Large),220,0.0,0.0,0.0,0,10,54,0,54,1
144,Sweet Tea (Child),110,0.0,0.0,0.0,0,5,27,0,27,0
145,Coffee (Small),0,0.0,0.0,0.0,0,0,0,0,0,0
146,Coffee (Medium),0,0.0,0.0,0.0,0,0,0,0,0,0
147,Coffee (Large),0,0.0,0.0,0.0,0,0,0,0,0,0
148,Latte (Small),170,9.0,5.0,0.0,25,115,15,1,12,9
149,Latte (Medium),210,10.0,6.0,0.0,30,140,18,1,15,11
150,Latte (Large),280,14.0,8.0,0.0,40,180,24,1,20,15
151,Caramel Latte (Small),270,9.0,5.0,0.0,25,115,40,1,38,9
152,Caramel Latte (Medium),340,10.0,6.0,0.0,30,140,50,1,48,11
153,Caramel Latte (Large),430,14.0,8.0,0.0,40,180,62,1,59,15
154,Hazelnut Latte (Small),270,9.0,5.0,0.0,25,115,40,1,38,9
155,Hazelnut Latte (Medium),330,10.0,6.0,0.0,30,140,50,1,47,11
156,Hazelnut Latte (Large),430,14.0,8.0,0.0,40,180,62,1,58,15
157,French Vanilla Latte (Small),260,9.0,5.0,0.0,25,115,38,1,36,9
158,French Vanilla Latte (Medium),330,10.0,6.0,0.0,30,140,48,1,45,11
