,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
274,Campfire S'mores,560,31,18,0.5,120,200,66,0,50,9
276,Campfire S'mores (Double),1110,63,36,1.5,240,400,131,1,100,18
278,Caramel Aficiona-Dough,490,26,15,0,140,420,57,0,40,9
279,Caramel Aficiona-Dough (Double),980,52,30,0,275,840,114,0,79,18
280,Caramel Apple Fritter,540,29,16,0,120,510,62,0,43,10
281,Caramel Apple Fritter (Double),1090,57,32,0,240,1030,123,0,86,21
282,Caramel Bourbon Twist,460,24,15,0,130,400,54,0,51,8
283,Caramel Bourbon Twist (Double),920,49,30,0,260,800,108,0,102,16
284,Caramel Carousel,420,19,11,0,120,390,54,0,45,8
285,Caramel Carousel (Double),830,38,23,0,240,790,108,0,90,17
286,Caramel Cone,410,20,12,0,120,360,50,0,45,8
287,Caramel Cone (Double),810,40,25,0,240,720,101,0,90,16
288,Caramel Crumble,410,20,12,0,120,360,50,0,45,8
289,Caramel Crumble (Double),810,40,25,0,240,720,101,0,90,18
290,Caruso's Crunch,470,24,14,0.5,130,340,55,0,50,8
291,Caruso's Crunch (Double),930,48,27,1.5,265,690,109,0,101,16
292,Cary Cookie Crumble,460,22,11,0,110,260,57,0,49,9
293,Cary Cookie Crumble (Double),920,45,22,0,225,510,114,0,98,17
294,Central West Blend,550,26,15,0,155,620,71,0,61,10
295,Central West Blend (Double),1100,52,29,0,310,1240,141,0,122,19
296,"Choc 'n' Roll, Defend the Blend",550,30,18,0.5,135,430,68,0,58,8
297,"Choc 'n' Roll, Defend the Blend (Double)",1090,61,35,1.5,270,870,136,0,115,16
298,Choc heard Round the World,470,28,17,0.5,130,180,52,1,44,9
299,Choc Heard Round the World (Double),930,56,34,1.5,260,350,105,2,87,18
300,Choc of the Town,480,30,19,0.5,125,150,50,0,41,8
301,Choc of the Town (Double),960,61,37,1.5,250,310,99,1,82,16
302,Chocolate and Chip,570,35,17,1,130,310,59,0,45,8
303,Chocolate and Chip (Double),1150,71,34,1.5,265,620,119,0,90,16
304,Chocolate Caramel Crunchcrete,520,30,19,1,140,340,60,0,53,7
305,Chocolate Caramel Crunchcrete (Double),1040,61,37,1.5,280,690,120,0,107,15
