Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
100% all-natural Angus beef. No hormones and no antibiotics ever. Our,,,,,,,,,,
proprietary Shack blend is freshly ground and served on a non-GMO potato,,,,,,,,,,
bun.,,,,,,,,,,
A Sprinkle In Time (Double),1000,46,27,1.5,280,500,132,0,108,17
"",,,,,,,,,,
All-In,520,27,17,0,140,480,61,0,58,8
"",,,,,,,,,,
All-In (Double),1030,55,34,0.5,280,960,122,0,115,16
"",,,,,,,,,,
Austin Street Treat,420,23,14,0.5,130,290,51,0,42,7
"",,,,,,,,,,
Austin Street Treat (Double),840,46,28,1.5,255,590,101,1,85,14
"",,,,,,,,,,
Back Bay Blend,560,33,21,1,150,410,64,0,58,7
"",,,,,,,,,,
Back Bay Blend (Double),1130,67,41,2,300,820,129,1,116,14
"",,,,,,,,,,
Banana Buyout,400,20,12,0,120,340,50,0,47,8
"",,,,,,,,,,
Banana Buyout (Double),800,40,25,0,240,680,99,0,93,16
"",,,,,,,,,,
Banana Caramel Crunch,420,19,11,0,120,390,48,0,46,8
"",,,,,,,,,,
Banana Caramel Crunch (Double),850,38,23,0,240,790,112,1,91,17
"",,,,,,,,,,
Banana Post Road,430,27,16,0.5,120,530,45,0,38,8
"",,,,,,,,,,
Banana Post Road (Double),860,54,33,1.5,240,1060,91,1,745,15
"",,,,,,,,,,
Bathazar Blender,560,30,18,0,150,440,64,0,51,10
"",,,,,,,,,,
Bathazar Blender (Double),1120,60,37,0.5,305,890,127,0,101,21
"",,,,,,,,,,
Bergen County Blend,420,22,13,0,130,250,48,0,40,9
"",,,,,,,,,,
Bergen County Blend (Double),850,44,27,0,255,500,96,1,80,18
"",,,,,,,,,,
Berry Blender,410,21,12,0.5,120,250,49,0,40,8
"",,,,,,,,,,
Berry Blender (Double),820,42,25,1,240,500,97,0,81,16
"",,,,,,,,,,
Beverly Chills,540,29,18,0,130,420,62,0,56,9
"",,,,,,,,,,
Beverly Chills (Double),1070,58,37,0,260,850,124,0,113,18
"",,,,,,,,,,
Birming Graham,460,20,11,0,130,250,62,0,50,9
"",,,,,,,,,,
Birming Graham (Double),920,40,22,0,265,510,123,1,101,17
"",,,,,,,,,,
Black & White Cookie,450,25,15,0,130,230,51,0,41,8
"",,,,,,,,,,
Black & White Cookie (Double),900,51,30,0.5,255,450,102,0,82,16
"",,,,,,,,,,
Blackout Cookie,530,30,14,0.5,120,210,62,0,46,8
"",,,,,,,,,,
Blackout Cookie (Double),1060,60,29,1.5,240,430,125,0,92,15
"",,,,,,,,,,
Brownie Points,540,28,15,1,135,490,64,0,57,10
"",,,,,,,,,,
Brownie Points (Double),1070,56,29,2.5,275,980,129,0,114,19
"",,,,,,,,,,
Buffalo Street Brownie,520,26,14,0,125,410,68,0,57,9
"",,,,,,,,,,
Buffalo Street Brownie (Double),1050,52,29,0,250,830,135,0,114,19
"",,,,,,,,,,
Burrowing Banana,400,23,14,0.5,130,270,48,0,41,7
"",,,,,,,,,,
Burrowing Banana (Double),790,48,28,1.5,255,530,91,1,81,13
"",,,,,,,,,,
Busy Bee,460,24,12,0,110,270,53,0,43,9
"",,,,,,,,,,
Busy Bee (Double),920,47,23,0,225,530,106,1,86,19
"",,,,,,,,,,
California Cold Rush,440,23,14,0,130,390,50,1,42,9
"",,,,,,,,,,
California Cold Rush (Double),880,46,28,0,255,780,100,1,85,17
"",,,,,,,,,,
Camden County Caramel,480,25,15,0,120,360,58,0,51,9
"",,,,,,,,,,
Camden County Caramel (Double),970,50,30,0,240,710,117,0,102,18
"",,,,,,,,,,
Campfire S'mores,560,31,18,0.5,120,200,66,0,50,9
"",,,,,,,,,,
Campfire S'mores (Double),1110,63,36,1.5,240,400,131,1,100,18
"",,,,,,,,,,
Caramel Aficiona-Dough,490,26,15,0,140,420,57,0,40,9
Caramel Aficiona-Dough (Double),980,52,30,0,275,840,114,0,79,18
Caramel Apple Fritter,540,29,16,0,120,510,62,0,43,10
Caramel Apple Fritter (Double),1090,57,32,0,240,1030,123,0,86,21
Caramel Bourbon Twist,460,24,15,0,130,400,54,0,51,8
Caramel Bourbon Twist (Double),920,49,30,0,260,800,108,0,102,16
Caramel Carousel,420,19,11,0,120,390,54,0,45,8
Caramel Carousel (Double),830,38,23,0,240,790,108,0,90,17
Caramel Cone,410,20,12,0,120,360,50,0,45,8
Caramel Cone (Double),810,40,25,0,240,720,101,0,90,16
Caramel Crumble,410,20,12,0,120,360,50,0,45,8
Caramel Crumble (Double),810,40,25,0,240,720,101,0,90,18
Caruso's Crunch,470,24,14,0.5,130,340,55,0,50,8
Caruso's Crunch (Double),930,48,27,1.5,265,690,109,0,101,16
Cary Cookie Crumble,460,22,11,0,110,260,57,0,49,9
Cary Cookie Crumble (Double),920,45,22,0,225,510,114,0,98,17
Central West Blend,550,26,15,0,155,620,71,0,61,10
Central West Blend (Double),1100,52,29,0,310,1240,141,0,122,19
"Choc 'n' Roll, Defend the Blend",550,30,18,0.5,135,430,68,0,58,8
"Choc 'n' Roll, Defend the Blend (Double)",1090,61,35,1.5,270,870,136,0,115,16
Choc heard Round the World,470,28,17,0.5,130,180,52,1,44,9
Choc Heard Round the World (Double),930,56,34,1.5,260,350,105,2,87,18
Choc of the Town,480,30,19,0.5,125,150,50,0,41,8
Choc of the Town (Double),960,61,37,1.5,250,310,99,1,82,16
Chocolate and Chip,570,35,17,1,130,310,59,0,45,8
Chocolate and Chip (Double),1150,71,34,1.5,265,620,119,0,90,16
Chocolate Caramel Crunchcrete,520,30,19,1,140,340,60,0,53,7
Chocolate Caramel Crunchcrete (Double),1040,61,37,1.5,280,690,120,0,107,15
Chocolate Caramel Pretzel,480,25,15,0,125,370,54,0,47,9
Chocolate Caramel Pretzel (Double),950,51,30,0,250,740,107,0,95,18
Chocolate Caramel Pretzel Crunch,510,30,18,0.5,135,310,55,0,47,8
Chocolate Caramel Pretzel Crunch (Double),1020,60,35,1.5,270,610,111,1,93,18
Chocolate Chip Cookie,600,37,22,0.5,150,370,66,0,43,9
Chocolate Chip Cookie (Double),1200,73,43,1.5,295,730,131,1,86,18
Chocolate Minted Marshmallow,430,24,14,0.5,125,150,53,0,46,7
Chocolate Minted Marshmallow (Double),860,48,29,1.5,350,300,105,0,92,15
Chocolate Thayer Cake,580,34,19,1,155,280,64,0,52,8
Chocolate Thayer Cake (Double),1160,68,38,1.5,305,560,129,0,104,17
Chocolate Truffle Cookie Cone,420,22,13,0,120,210,52,0,44,8
Chocolate Truffle Cookie Cone (Double),840,44,26,0.5,240,410,104,0,88,16
Churn of the Century,590,36,14,0,130,450,56,0,45,14
Churn of the Century (Double),1180,73,27,0,255,890,112,0,90,28
Coffee & Donuts,460,23,12,0,115,290,55,0,41,9
Coffee & Donuts (Double),920,45,23,0,225,580,111,0,83,19
Coffee Caramel Popcorn,410,20,12,0,120,400,47,0,43,10
Coffee Caramel Popcorn (Double),810,41,23,0,245,790,94,0,87,19
Coffee Toffee,450,22,14,0,120,270,56,0,42,8
Coffee Toffee (Double),900,45,28,0,245,540,113,0,105,18
cOLD Fashioned,490,25,14,0,120,460,57,0,47,9
cOLD Fashioned (Double),970,51,29,0,245,920,114,1,93,18
Cold Shot,550,30,18,0.5,145,490,66,0,61,7
Cold Shot (Double),1080,58,36,1,290,880,130,0,121,15
Coldspot,500,23,13,0,120,400,65,0,54,10
Coldspot (Double),1000,47,25,0,240,810,130,0,109,20
Colonial Custard,440,21,13,0,140,250,53,0,44,8
Colonial Custard (Double),870,43,26,0,280,500,106,0,88,17
Concrete of Troy,520,26,14,0,125,410,68,0,57,9
Concrete of Troy (Double),1050,52,29,0,250,830,135,0,114,19
Cookie & Coffee,450,24,15,0,125,350,52,0,43,9
Cookie & Coffee (Double),910,49,30,0,250,700,104,0,87,17
Cookie Butter Blender,570,32,18,0,135,370,63,0,57,9
Cookie Butter Blender (Double),1140,65,36,0.5,265,730,126,0,114,17
Cookie Butter Crunchcrete,530,32,18,1,130,230,56,0,48,8
Cookie Butter Crunchcrete (Double),1050,65,35,1.5,265,460,112,0,97,15
Cookie-Crumble,460,22,11,0,110,260,57,0,49,9
Cookie-Crumble (Double),920,45,22,0,225,510,114,0,98,17
Cookie Dough Country,500,31,16,0.5,125,270,51,0,41,10
Cookie Dough Country (Double),1000,63,31,1.5,250,540,102,0,81,20
Coral Crisp,500,22,13,0,120,470,72,0,57,9
Coral Crisp (Double),1000,43,26,0,240,940,144,0,114,18
Crimson Red Velvet,360,19,11,0,120,250,40,0,37,8
Crimson Red Velvet (Double),720,38,22,0,235,510,79,0,74,16
Cross County Crunch,520,29,18,0,130,420,60,0,54,9
Cross County Crunch (Double),1040,58,36,0,260,830,118,0,108,18
Crunch Time,470,22,13,0,120,350,59,0,53,9
Crunch Time (Double),930,44,26,0,240,710,119,0,106,17
Crunch-stellation,470,24,15,0,125,290,57,0,52,9
Crunch-stellation (Double),930,49,30,0,245,580,114,0,105,17
Cup | Cake Crunch,530,28,15,0,135,340,61,0,55,9
Cup | Cake Crunch (Double),1060,57,31,0,265,690,123,0,109,18
D.O.D-licious,510,27,16,0,140,420,60,0,42,9
D.O.D-licious (Double),1010,54,31,0,275,850,118,0,83,18
Da' S'more,500,26,14,0.5,125,200,63,0,50,8
Da' S'more (Double),990,52,29,1.5,250,410,126,1,99,16
Dallas Dough,580,31,18,0.5,130,190,70,0,55,9
Dallas Dough (Double),1160,63,35,1.5,255,380,140,0,110,19
Darien Cookie Dough,550,30,18,0,145,480,63,0,47,9
Darien Cookie Dough (Double),1090,59,35,0,295,960,127,0,95,18
Declaration of Donuts,560,28,16,0,125,410,69,0,58,9
Declaration of Donuts (Double),1120,56,32,0,250,830,137,0,115,19
Defend the Blend,600,35,19,0.5,165,430,69,0,59,9
Defend the Blend (Double),1190,69,38,1.5,330,860,139,0,117,18
Del Rey Way,430,23,12,0,115,290,49,0,35,9
Del Rey Way (Double),860,45,23,0,225,580,97,0,71,18
Devil's In The Details,550,31,16,1,150,460,64,0,50,9
Devil's In The Details (Double),1100,62,32,1.5,295,910,128,0,100,17
Do It For The Graham,460,20,11,0,130,250,62,0,50,9
Do It For The Graham (Double),920,40,22,0,265,510,123,1,101,17
Double Chocolate Trouble,490,26,15,0,140,420,57,0,40,9
Double Chocolate Trouble (Double),980,52,30,0,275,840,114,0,79,18
Doughnut Look Swell,440,23,13,0,115,330,49,0,40,9
Doughnut Look Swell (Double),880,47,26,0,230,660,99,0,81,18
Doughnuts Are Forever,370,19,11,0,110,220,42,0,37,8
Doughnuts are Forever (Double),730,37,21,0.5,225,440,84,1,74,16
Downtown Butter Brown,390,20,12,0,110,220,45,0,39,8
Downtown Butter Brown (Double),780,39,24,0,225,440,90,0,77,16
DTLA,480,30,19,0.5,125,150,50,0,41,8
DTLA (Double),960,61,37,1.5,250,310,99,1,82,16
Dust Devil,460,22,13,0,125,390,599,0,51,8
Dust Devil (Double),920,44,27,0,255,790,118,0,101,17
Easton Bound,470,24,15,0,135,390,55,0,47,9
Easton Bound (Double),940,48,30,0,270,770,111,1,94,18
Eaton' Around Town,510,28,17,1,130,190,63,0,51,8
Eaton' Around Town (Double),1010,55,33,1.5,260,390,127,0,102,16
Elm City Coffee Break,570,30,14,0,115,340,68,0,51,10
Elm City Coffee Break (Double),1150,59,28,0,235,690,136,0,101,19
Empire State,550,30,16,1,125,240,65,0,48,9
Empire State (Double),1090,61,31,1.5,250,470,131,1,97,18
Even S'more,520,27,15,0.5,125,210,66,0,52,8
Even S'more (Double),1040,55,30,1.5,255,420,133,1,104,17
Eye Drive,530,29,18,0,140,470,63,0,59,8
Eye Drive (Double),1070,58,36,0.5,280,950,125,1,117,16
Falls Fashion,430,22,13,0,120,390,50,0,44,8
Falls Fashion (Double),850,44,26,0,240,790,101,1,88,17
Fidi Fudge,470,28,17,0.5,130,180,52,1,44,9
Fidi Fudge (Double),930,56,34,1.5,260,350,104,2,86,17
Fluff'N Foster,490,22,12,0,130,340,64,0,55,9
Fluff'N Foster (Double),970,44,24,0,260,680,129,1,109,18
Fly Me To The Shack,550,35,21,0.5,130,170,58,0,48,9
Fly Me To The Shack (Double),1100,70,43,1.5,260,340,117,0,96,18
Fudge-eddaboutit,470,30,19,0.5,125,150,47,1,39,8
Fudge-eddaboutit (Double),940,60,37,1.5,250,310,95,1,79,16
Garden State,440,21,13,0,125,320,55,0,36,9
Garden State (Double),880,43,25,0,250,650,110,0,72,18
Give My Regards,520,29,18,0,130,420,60,0,54,9
Give My Regards (Double),1040,58,36,0,260,830,118,0,108,18
Glades Donuts,470,25,15,0,125,400,52,0,47,8
Glades Donuts (Double),930,51,30,0,255,800,105,0,93,16
Glazed Dazed Doughnut,520,28,16,0,130,490,61,0,52,9
Glazed Dazed Doughnut (Double),1050,56,33,0,265,990,121,0,104,17
Grahammy Nominated,390,18,10,0,110,250,50,1,40,8
Grahammy Nominated (Double),790,37,20,0,225,500,100,2,80,17
Great Salted Dessert,480,22,13,0,130,400,63,0,55,9
Great Salted Dessert (Double),960,44,27,0,255,790,126,0,109,17
Going Yard,520,26,14,0,125,410,68,0,57,9
Going Yard (Double),1050,52,29,0,250,830,135,0,114,19
Heights Bites,560,28,14,0,160,570,72,0,64,9
Heights Bites (Double),1130,56,28,0,315,1150,143,0,128,17
Hill of Beans,480,25,15,0,125,350,60,1,52,10
Hill of Beans (Double),970,51,31,0,245,700,120,2,105,19
Home-ward Bound,510,30,17,0.5,135,300,59,0,48,8
Home-ward Bound (Double),1020,59,35,1.5,265,600,117,0,97,16
Hopscotch,510,29,18,0,130,400,56,0,51,9
Hopscotch (Double),1020,57,36,0,260,810,113,0,103,17
Hopscotch (Roadie)*,2040,115,72,1,520,1610,226,0,206,34
Invictus,490,29,18,0.5,130,300,55,0,45,8
Invictus (Double),980,58,36,1.5,255,600,109,0,89,16
Jitney,490,26,15,0,140,57,57,0,40,9
Jitney (Double),980,52,30,0,275,840,114,0,79,18
Just Du It,570,29,16,0,150,470,68,0,58,9
Just Du It (Double),1130,59,32,0,295,940,137,0,116,18
Kierland Campfire,530,29,16,0.5,120,190,62,0,48,9
Kierland Campfire (Double),1050,58,32,1.5,245,390,124,1,95,17
King Neptune's Swirl,360,17,10,0,110,220,45,0,39,8
King Neptune's Swirl (Double),710,33,20,0,225,450,89,1,78,16
Larks-Brr,370,16,10,0,110,280,50,0,43,8
Larks-Brr (Double),750,33,20,0,225,520,99,0,85,16
Lemon Grove,460,20,11,0,130,250,62,0,50,9
Lemon Grove (Double),920,40,22,0,265,510,123,1,101,17
Liberty Shell,380,19,11,0,120,200,43,0,39,9
Liberty Shell (Double),750,38,23,0,235,410,86,0,79,18
Logan Swirl,500,27,15,0,130,450,58,0,52,8
Logan Swirl (Double),1000,54,31,0,265,900,117,0,103,17
Lower West Side,480,28,17,0.5,120,150,52,4,44,9
Lower West Side (Double),970,56,33,1.5,245,310,105,7,88,18
M Street Treat,510,27,16,0,120,260,64,0,53,10
M Street Treat (Double),1030,54,33,0,245,530,129,1,106,20
Macaron Swoon,430,20,13,0,135,210,52,0,47,9
Macaron Swoon (Double),850,40,27,0,270,410,104,0,93,17
"'Mallow Monsoon",420,22,13,0,120,210,53,0,45,8
"'Mallow Monsoon (Double)",850,44,26,0.5,240,410,105,1,89,16
Malt of America,460,22,13,0,125,390,58,0,50,8
Malt of America (Double),920,44,27,0,255,790,117,0,100,17
Malt Whitman,510,26,15,0,125,300,61,0,42,10
Malt Whitman (Double),1010,51,29,0,250,610,123,0,83,20
"Maple, Bacon and Banana",440,24,13,0,120,430,48,0,40,11
"Maple, Bacon and Banana (Double)",890,47,26,0,235,860,96,1,79,22
Marshmallow C.R.E.M.E.,550,29,16,0.5,125,220,720,0,58,9
Marshmallow C.R.E.M.E. (Double),1100,57,31,1.5,250,440,144,0,116,17
MB Malt,430,24,13,0,115,250,47,0,40,8
MB Malt (Double),870,48,26,0,235,510,94,1,79,17
Metairie Mixer,500,28,15,0,130,290,55,0,52,9
Metairie Mixer (Double),1010,56,31,0,255,580,110,0,104,17
Millenia Malt,500,29,18,0.5,120,160,60,0,51,8
Millenia Malt (Double),1010,57,35,1.5,245,310,120,0,102,16
Millennium Perk,480,24,13,0,115,330,58,0,47,9
Millennium Perk (Double),950,47,26,0,230,660,115,1,94,18
Mindy's Mix Up,490,26,15,0,140,420,57,0,40,9
Mindy's Mix Up (Double),980,52,30,0,275,840,114,0,79,18
MINT Chocolate,430,24,14,0.5,120,150,53,0,46,7
MINT Chocolate (Double),860,48,29,1.5,250,300,105,0,92,15
Minted Magic,460,26,15,0.5,125,150,57,0,50,8
Minted Magic (Double),920,51,31,1.5,250,300,114,0,99,15
Missi-chip-pi Fudge,430,24,14,0,125,260,46,0,36,9
Missi-chip-pi Fudge (Double),850,47,28,0,255,520,92,0,73,17
Mix In Control,490,22,14,0,130,300,65,0,54,10
Mix In Control (Double),990,44,27,0,260,600,130,0,108,19
Motor City Mix,470,27,16,0,130,260,48,0,46,9
Motor City Mix (Double),930,53,32,0,260,510,97,0,91,18
Mount Tam Graham,520,29,16,0.5,120,200,63,0,48,8
Mount Tam Graham (Double),1040,58,33,1.5,240,390,125,1,96,17
Murray Hill Malt,550,31,19,0.5,125,180,62,4,51,10
