,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
232,D.O.D-licious,510,27.0,16.0,0.0,140,420,60,0,42,9
233,D.O.D-licious (Double),1010,54.0,31.0,0.0,275,850,118,0,83,18
234,Da' S'more,500,26.0,14.0,0.5,125,200,63,0,50,8
235,Da' S'more (Double),990,52.0,29.0,1.5,250,410,126,1,99,16
236,Dallas Dough,580,31.0,18.0,0.5,130,190,70,0,55,9
237,Dallas Dough (Double),1160,63.0,35.0,1.5,255,380,140,0,110,19
238,Darien Cookie Dough,550,30.0,18.0,0.0,145,480,63,0,47,9
239,Darien Cookie Dough (Double),1090,59.0,35.0,0.0,295,960,127,0,95,18
240,Declaration of Donuts,560,28.0,16.0,0.0,125,410,69,0,58,9
241,Declaration of Donuts (Double),1120,56.0,32.0,0.0,250,830,137,0,115,19
242,Defend the Blend,600,35.0,19.0,0.5,165,430,69,0,59,9
243,Defend the Blend (Double),1190,69.0,38.0,1.5,330,860,139,0,117,18
244,Del Rey Way,430,23.0,12.0,0.0,115,290,49,0,35,9
245,Del Rey Way (Double),860,45.0,23.0,0.0,225,580,97,0,71,18
246,Devil's In The Details,550,31.0,16.0,1.0,150,460,64,0,50,9
247,Devil's In The Details (Double),1100,62.0,32.0,1.5,295,910,128,0,100,17
248,Do It For The Graham,460,20.0,11.0,0.0,130,250,62,0,50,9
249,Do It For The Graham (Double),920,40.0,22.0,0.0,265,510,123,1,101,17
250,Double Chocolate Trouble,490,26.0,15.0,0.0,140,420,57,0,40,9
251,Double Chocolate Trouble (Double),980,52.0,30.0,0.0,275,840,114,0,79,18
252,Doughnut Look Swell,440,23.0,13.0,0.0,115,330,49,0,40,9
253,Doughnut Look Swell (Double),880,47.0,26.0,0.0,230,660,99,0,81,18
254,Doughnuts Are Forever,370,19.0,11.0,0.0,110,220,42,0,37,8
255,Doughnuts are Forever (Double),730,37.0,21.0,0.5,225,440,84,1,74,16
256,Downtown Butter Brown,390,20.0,12.0,0.0,110,220,45,0,39,8
